"/in (modelFiles=cr018gpii_v1d0.scs:tt,cr018gpii_v1d0.scs:stat_noise,cr018gpii_v1d0.scs:stat,save_op_M0.scs,save_op_M1.scs) X","/in (modelFiles=cr018gpii_v1d0.scs:tt,cr018gpii_v1d0.scs:stat_noise,cr018gpii_v1d0.scs:stat,save_op_M0.scs,save_op_M1.scs) Y","/out (modelFiles=cr018gpii_v1d0.scs:tt,cr018gpii_v1d0.scs:stat_noise,cr018gpii_v1d0.scs:stat,save_op_M0.scs,save_op_M1.scs) X","/out (modelFiles=cr018gpii_v1d0.scs:tt,cr018gpii_v1d0.scs:stat_noise,cr018gpii_v1d0.scs:stat,save_op_M0.scs,save_op_M1.scs) Y","/out (modelFiles=cor_std_mos.scs:ff,cr018gpii_v1d0.scs:stat_noise,cr018gpii_v1d0.scs:stat,save_op_M0.scs,save_op_M1.scs) X","/out (modelFiles=cor_std_mos.scs:ff,cr018gpii_v1d0.scs:stat_noise,cr018gpii_v1d0.scs:stat,save_op_M0.scs,save_op_M1.scs) Y","/out (modelFiles=cor_std_mos.scs:ss,cr018gpii_v1d0.scs:stat_noise,cr018gpii_v1d0.scs:stat,save_op_M0.scs,save_op_M1.scs) X","/out (modelFiles=cor_std_mos.scs:ss,cr018gpii_v1d0.scs:stat_noise,cr018gpii_v1d0.scs:stat,save_op_M0.scs,save_op_M1.scs) Y","/out (modelFiles=cor_std_mos.scs:sf,cr018gpii_v1d0.scs:stat_noise,cr018gpii_v1d0.scs:stat,save_op_M0.scs,save_op_M1.scs) X","/out (modelFiles=cor_std_mos.scs:sf,cr018gpii_v1d0.scs:stat_noise,cr018gpii_v1d0.scs:stat,save_op_M0.scs,save_op_M1.scs) Y","/out (modelFiles=cor_std_mos.scs:fs,cr018gpii_v1d0.scs:stat_noise,cr018gpii_v1d0.scs:stat,save_op_M0.scs,save_op_M1.scs) X","/out (modelFiles=cor_std_mos.scs:fs,cr018gpii_v1d0.scs:stat_noise,cr018gpii_v1d0.scs:stat,save_op_M0.scs,save_op_M1.scs) Y"
2.855443888202251,1.279597997528105,2.855443888202251,0.8908988015516791,2.866011213222865,0.739112846776859,2.845380110496927,0.9066222420383938,2.865785509354965,0.9509401617201291,2.845013179763694,0.8378861148572071
2.855447587144357,1.279611313719684,2.855447587144357,0.8894668247880319,2.866135541122682,0.719963255185285,2.84538481990555,0.9043813669425821,2.865788944194947,0.9496647131933247,2.845014016392138,0.8375551411867985
2.855452052189611,1.279627387882599,2.855452052189611,0.8877398275589206,2.866284448415799,0.6994979951359334,2.84538828541937,0.9027324363794047,2.865793086556936,0.9481266472339237,2.845014930954154,0.8371935298921901
2.855457381443348,1.279646573196053,2.855457381443348,0.8856809081488701,2.866449399651169,0.6792194062540799,2.845391337662651,0.9012802069543012,2.865798073244516,0.9462752702738521,2.845016108195915,0.8367283557715653
2.8554637840599,1.279669622615638,2.8554637840599,0.8832108445720493,2.866631988787617,0.659003470970092,2.84539441807578,0.8998146490141257,2.865804013864797,0.9440700648459881,2.845017513022781,0.8361736972894682
2.85547134286792,1.279696834324512,2.85547134286792,0.8803000134904551,2.866839747439029,0.6381910726908075,2.845397882896001,0.8981663043765024,2.865811145411294,0.9414233667667248,2.845019287536614,0.8354737741134343
2.855478821735341,1.279723758247229,2.855478821735341,0.8774259581163432,2.867078544774485,0.6164998330821376,2.845401725012819,0.896338592861941,2.865819574363259,0.9382961867457226,2.845021432985041,0.8346285929789109
2.855484982829292,1.279745938185452,2.855484982829292,0.8750630674395081,2.867352006946719,0.5939431977613084,2.845403495445036,0.8954964067544787,2.865826824484414,0.9356074148046903,2.845024044581059,0.8336013506322026
2.855490276221816,1.279764994398538,2.855490276221816,0.8730365780656952,2.86766329980692,0.5705936404880098,2.845405316517947,0.8946301626418955,2.865832416950366,0.9335341779764463,2.845027208525279,0.8323592030668437
2.855495620917591,1.279784235303326,2.855495620917591,0.8709940018071076,2.868015466190264,0.5465400336107205,2.845405762178382,0.8944181640379677,2.865837608717357,0.9316101714307405,2.845031042886829,0.8308573831290962
2.855501842941081,1.279806634587891,2.855501842941081,0.8686208342595542,2.86841048853573,0.5219385717821579,2.845406347096269,0.8941399317370345,2.865843492754398,0.9294304892280215,2.845035674620781,0.8290485390510902
2.855509584870058,1.279834505532208,2.855509584870058,0.8656753532799345,2.868848720856781,0.4970161491714653,2.845406547028915,0.8940448156909497,2.865850740644926,0.9267469827944852,2.845041200793657,0.8268981749868476
2.855519570246975,1.279870452889109,2.855519570246975,0.8618892013023947,2.869329518479429,0.4720064937391076,2.845406751591952,0.8939475043804817,2.865859850182455,0.9233766957642092,2.84504782785156,0.8243309865935573
2.855533133299959,1.279919279879854,2.855533133299959,0.8567717566740616,2.869852902239249,0.4470645622552979,2.845406960772761,0.8938480115457886,2.865871700286423,0.9189973326901537,2.845055584123733,0.8213430001282248
2.855550034988842,1.279980125959832,2.855550034988842,0.8504395246578957,2.870421360218232,0.4222156553178207,2.845407193048155,0.8937375377630091,2.865885974508819,0.9137305599001289,2.845062372482534,0.8187432007885272
2.855562553738899,1.280025193460035,2.855562553738899,0.84578445475592,2.871040762598139,0.3973690037664577,2.845407415784805,0.893631592339726,2.86589857233988,0.9090910136011426,2.845068234264708,0.8165101991556866
2.855575338405388,1.280071218259397,2.855575338405388,0.8410638503935778,2.871720335321293,0.3723700847652583,2.845407697503842,0.8934975911903147,2.865912115420433,0.9041135777370218,2.84507367513848,0.8144477604771171
2.855592468682594,1.280132887257339,2.855592468682594,0.8347960828409379,2.872473220015873,0.3470234244258983,2.845408029684342,0.8933395907142549,2.865929504400708,0.8977404793361528,2.845079253002946,0.8123439020201694
2.855615228853387,1.280214823872192,2.855615228853387,0.8265804683197779,2.873319928892367,0.3210347816444186,2.845408349187013,0.8931876240065556,2.86595198045369,0.8895376643335448,2.845085650125758,0.8099445062059872
