Point,Corner,mc_iteration,Pass/Fail,Voltage_thres,gm_0,gm_1,ID_max,ID_Interpol,Gain_inter,Rout_0,Rout_1,Voh,Vol,Vih,Vil
35,nom,35,,1.28935873648698e+00,7.78677292541513e-05,9.54039219179652e-06,4.48749556743533e-06,4.47875949605731e-06,-8.97503967137388e+01,1.09293361212581e+06,1.97413410947841e+07,1.75544285109749e+00,3.89114666103122e-02,1.40203326931908e+00,1.26428814518729e+00
36,nom,36,,1.27436328015308e+00,8.07294289339904e-05,1.00901097121622e-05,4.77045137774101e-06,4.76227520150261e-06,-9.10366715526213e+01,1.07026936668153e+06,1.82532682363568e+07,1.75443877312348e+00,3.91883048398798e-02,1.38821343672679e+00,1.24890528496168e+00
37,nom,37,,1.28665168393873e+00,9.17210212187057e-05,1.10264445512034e-05,5.46394560382707e-06,5.45371243002869e-06,-8.25692591706948e+01,8.54003909856020e+05,1.58014483637942e+07,1.75325889168432e+00,3.92945014512660e-02,1.40362983524665e+00,1.26028551708727e+00
38,nom,38,,1.29460570653068e+00,8.35580774072395e-05,1.00376881437996e-05,4.84512294257481e-06,4.83544956488400e-06,-8.56318590733502e+01,9.71858080342364e+05,1.81903127105247e+07,1.75473849368126e+00,3.89807290648194e-02,1.40901214546937e+00,1.26907572008847e+00
39,nom,39,,1.25751414468121e+00,7.64238755549309e-05,1.00011145637724e-05,4.57633484697980e-06,4.56746882042237e-06,-9.14456552158392e+01,1.13002900999175e+06,1.90834783540544e+07,1.75464414477654e+00,3.94961477718309e-02,1.37069560186306e+00,1.23190769319831e+00
40,nom,40,,1.27188272553238e+00,7.69824772364924e-05,9.72133464984048e-06,4.53910218875345e-06,4.53084396833827e-06,-9.07353151325445e+01,1.11696255031147e+06,1.91817853424823e+07,1.75490328416394e+00,3.92995224355031e-02,1.38522178229738e+00,1.24645960243061e+00
41,nom,41,,1.26999926427558e+00,8.55790263399233e-05,1.06239298301510e-05,5.15467716859265e-06,5.14624111328421e-06,-8.71941032946079e+01,9.67530637148662e+05,1.64978546565648e+07,1.75340319763747e+00,3.94952972883501e-02,1.38624419575968e+00,1.24385020287757e+00
42,nom,42,,1.25389814668607e+00,7.04089998312913e-05,9.37800294306417e-06,4.17283249378081e-06,4.16463464044597e-06,-9.51257200337149e+01,1.27495936219246e+06,2.10410074568534e+07,1.75554202738269e+00,3.93726212903439e-02,1.36521108945744e+00,1.22882229355235e+00
43,nom,43,,1.27293779851155e+00,8.11286615373473e-05,1.01323687271918e-05,4.81912455331663e-06,4.81078178181041e-06,-8.93046342326057e+01,1.04441717457873e+06,1.79307517943242e+07,1.75425733256184e+00,3.93393063737239e-02,1.38747498044445e+00,1.24723879311556e+00
44,nom,44,,1.28262612804377e+00,7.93391191242762e-05,9.83795306057038e-06,4.62168615019086e-06,4.61298731435654e-06,-9.04617797769217e+01,1.08095489258866e+06,1.91158355339707e+07,1.75502196741124e+00,3.90113044365273e-02,1.39560886353159e+00,1.25739805096074e+00
45,nom,45,,1.29483499069623e+00,8.82931801193410e-05,1.04431254677552e-05,5.17546033136760e-06,5.16575282232661e-06,-8.30247116623866e+01,8.93072715449417e+05,1.67081479259398e+07,1.75392076603518e+00,3.91043917082277e-02,1.41115124967037e+00,1.26887385634292e+00
46,nom,46,,1.28535495932774e+00,8.29853939039797e-05,1.01248098964431e-05,4.86339939190351e-06,4.85440891470989e-06,-8.75136718795114e+01,1.00062977303967e+06,1.79618686891063e+07,1.75446206098915e+00,3.91040650941773e-02,1.39984320570640e+00,1.25977322536383e+00
47,nom,47,,1.24770842157760e+00,7.57588521203203e-05,1.00516733811165e-05,4.58863317423721e-06,4.58016896142327e-06,-9.22469525117161e+01,1.14994835161844e+06,1.87912019718188e+07,1.75433749927178e+00,3.96435328270966e-02,1.36138600451513e+00,1.22201018916877e+00
48,nom,48,,1.26476450977382e+00,7.43066687497581e-05,9.56720477332685e-06,4.38824242212630e-06,4.38024713323261e-06,-9.30863519693283e+01,1.18599218262359e+06,1.98819574112111e+07,1.75513647212071e+00,3.92922837449798e-02,1.37729160337842e+00,1.23954094831002e+00
49,nom,49,,1.27818740661064e+00,8.23648990423772e-05,1.00840289586229e-05,4.88169187738951e-06,4.87369618201241e-06,-8.79777981021829e+01,1.01545503416755e+06,1.75022698048842e+07,1.75410534153945e+00,3.93240234861038e-02,1.39353185085296e+00,1.25241685193052e+00
50,nom,50,,1.30558808863696e+00,8.71492450442355e-05,1.02125825265933e-05,5.01197998471436e-06,5.00135173223575e-06,-8.28466476830044e+01,9.01555251557932e+05,1.76843302767852e+07,1.75464143793015e+00,3.88158725562150e-02,1.42064068606966e+00,1.28000172621697e+00
51,nom,51,,1.26600808279453e+00,7.92864039827699e-05,1.01252971424581e-05,4.72251624174333e-06,4.71401191488171e-06,-9.11888717154568e+01,1.08917039462744e+06,1.84531479216859e+07,1.75442656507979e+00,3.93413689208851e-02,1.37969236334887e+00,1.24044137360848e+00
52,nom,52,,1.28321730786299e+00,8.02950508492437e-05,9.94293450402569e-06,4.68844424607073e-06,4.67944281643414e-06,-8.92162236837609e+01,1.05293857187004e+06,1.88403784208876e+07,1.75490225505886e+00,3.90875593751333e-02,1.39653820004594e+00,1.25782520501598e+00
53,nom,53,,1.30302993574567e+00,9.71134941871668e-05,1.12562862026598e-05,5.70825189307589e-06,5.69657308701937e-06,-7.88055393217521e+01,7.69914253362389e+05,1.52485113117487e+07,1.75318178360106e+00,3.90331081420081e-02,1.42082708888233e+00,1.27661827049260e+00
54,nom,54,,1.29392524535164e+00,8.37301691907546e-05,9.98615241110850e-06,4.87639660542324e-06,4.86718593091156e-06,-8.46642618681185e+01,9.60145468604241e+05,1.78069075682884e+07,1.75453003011500e+00,3.91085195234763e-02,1.40916285399345e+00,1.26822309597251e+00
55,nom,55,,1.25331534602862e+00,7.71128904894305e-05,1.00442432832498e-05,4.66305518712915e-06,4.65465854527432e-06,-9.02355718378982e+01,1.10668423126203e+06,1.83451615091300e+07,1.75419099322326e+00,3.96733185140173e-02,1.36781408450795e+00,1.22745152374577e+00
56,nom,56,,1.27948020068047e+00,7.50098037542507e-05,9.36241169271397e-06,4.35790683658515e-06,4.35009167900368e-06,-9.22237231582941e+01,1.16667078553692e+06,2.01139642173917e+07,1.75547663935035e+00,3.90912056922861e-02,1.39185569793038e+00,1.25443430348874e+00
57,nom,57,,1.27694400861606e+00,8.36254716045386e-05,1.03892240214731e-05,4.95864728211068e-06,4.94971374674156e-06,-8.84501635537006e+01,1.00298196582034e+06,1.75872269217950e+07,1.75413289480111e+00,3.92629337726578e-02,1.39152438387370e+00,1.25118470330112e+00
58,nom,58,,1.29859980709583e+00,8.95721183590145e-05,1.05916113082931e-05,5.22685793581947e-06,5.21621478396032e-06,-8.23113667774148e+01,8.71448390701928e+05,1.67955101283179e+07,1.75403577341676e+00,3.90155201306863e-02,1.41453639041798e+00,1.27265318073060e+00
59,nom,59,,1.26352366037440e+00,8.03336508996313e-05,1.01788839419430e-05,4.82357078159291e-06,4.81554561437166e-06,-9.00315053336107e+01,1.06314564081081e+06,1.77121435870504e+07,1.75398515903275e+00,3.94759219810086e-02,1.37847253480965e+00,1.23773187340884e+00
60,nom,60,,1.26715892274381e+00,7.78255643760273e-05,9.96298171683103e-06,4.61740444683257e-06,4.60870279205544e-06,-9.09555166654546e+01,1.10581658968546e+06,1.89589115307158e+07,1.75471942319582e+00,3.93453460238405e-02,1.38041485752746e+00,1.24164302867817e+00
61,nom,61,,1.25636819246314e+00,8.66567146987708e-05,1.10307802710215e-05,5.32339683177197e-06,5.31455605346585e-06,-8.66199234420848e+01,9.47304261457315e+05,1.58263513234742e+07,1.75279380315745e+00,3.97660995265707e-02,1.37348786561156e+00,1.22983217604133e+00
62,nom,62,,1.28139260394736e+00,8.16812401315903e-05,1.01115664117830e-05,4.79132111845936e-06,4.78236950739270e-06,-8.92093866507395e+01,1.03541195870699e+06,1.83616819989836e+07,1.75461482154345e+00,3.91011307487821e-02,1.39513668351705e+00,1.25592157571196e+00
