/ed_neo1 (Design_Point=1) X,/ed_neo1 (Design_Point=1) Y,GanhoEdNeo (Design_Point=1) X,GanhoEdNeo (Design_Point=1) Y,/I37/I0/b1 (Design_Point=1) X,/I37/I0/b1 (Design_Point=1) Y,GanhoVprod (Design_Point=1) X,GanhoVprod (Design_Point=1) Y
-0.449,1.699426238306316,-0.448,-0.03573627539332765,-0.449,1.237188036584537,-0.448,0.2498817710074872
-0.448,1.699390502030923,-0.447,-0.03592791463224995,-0.448,1.237437918355544,-0.447,0.2498811917286401
-0.447,1.699354574116291,-0.446,-0.03612100614680532,-0.447,1.237687799547273,-0.446,0.2498805892048315
-0.446,1.699318453110144,-0.445,-0.03631556418448586,-0.446,1.237937680136478,-0.445,0.249879962872068
-0.445,1.699282137545959,-0.444,-0.03651160331186173,-0.445,1.23818756009935,-0.444,0.2498793121570306
-0.444,1.699245625942647,-0.4429999999999999,-0.0367091375459427,-0.444,1.238437439411507,-0.4429999999999999,0.2498786364668601
-0.4429999999999999,1.699208916805101,-0.4419999999999999,-0.03690818401280712,-0.4429999999999999,1.238687318047974,-0.4419999999999999,0.2498779351980394
-0.4419999999999999,1.699172008621089,-0.4409999999999999,-0.03710875540186006,-0.4419999999999999,1.238937195983172,-0.4409999999999999,0.2498772077277331
-0.4409999999999999,1.699134899865687,-0.4399999999999999,-0.03731086914227074,-0.4409999999999999,1.2391870731909,-0.4399999999999999,0.2498764534277773
-0.4399999999999999,1.699097588996545,-0.4389999999999999,-0.03751454031042375,-0.4399999999999999,1.239436949644327,-0.4389999999999999,0.2498756716424742
-0.4389999999999999,1.699060074456234,-0.4379999999999999,-0.03771978401001515,-0.4389999999999999,1.23968682531597,-0.4379999999999999,0.2498748617132394
-0.4379999999999999,1.699022354672224,-0.4369999999999999,-0.03792661703294616,-0.4379999999999999,1.239936700177683,-0.4369999999999999,0.2498740229548433
-0.4369999999999999,1.698984428055191,-0.4359999999999999,-0.03813505397731728,-0.4369999999999999,1.240186574200638,-0.4359999999999999,0.2498731546745068
-0.4359999999999999,1.698946293001214,-0.4349999999999999,-0.03834511417166727,-0.4359999999999999,1.240436447355312,-0.4349999999999999,0.2498722561568021
-0.4349999999999999,1.698907947887042,-0.4339999999999999,-0.03855681168984933,-0.4349999999999999,1.240686319611469,-0.4339999999999999,0.2498713266745332
-0.4339999999999999,1.698869391075352,-0.4329999999999999,-0.03877016481657055,-0.4339999999999999,1.240936190938144,-0.4329999999999999,0.2498703654745247
-0.4329999999999999,1.698830620910536,-0.4319999999999999,-0.0389851899085247,-0.4329999999999999,1.241186061303618,-0.4319999999999999,0.24986937179694
-0.4319999999999999,1.698791635720627,-0.4309999999999999,-0.03920190469841597,-0.4319999999999999,1.241435930675415,-0.4309999999999999,0.2498683448579617
-0.4309999999999999,1.698752433815929,-0.4299999999999999,-0.03942032646531143,-0.4309999999999999,1.241685799020273,-0.4299999999999999,0.2498672838517899
-0.4299999999999999,1.698713013489463,-0.4289999999999999,-0.03964047331050932,-0.4299999999999999,1.241935666304125,-0.4289999999999999,0.2498661879632988
-0.4289999999999999,1.698673373016153,-0.4279999999999999,-0.0398623632951178,-0.4289999999999999,1.242185532492088,-0.4279999999999999,0.2498650563469427
-0.4279999999999999,1.698633510652858,-0.4269999999999999,-0.04008601381344509,-0.4279999999999999,1.242435397548435,-0.4269999999999999,0.2498638881465174
-0.4269999999999999,1.698593424639044,-0.4259999999999999,-0.0403114443754404,-0.4269999999999999,1.242685261436582,-0.4259999999999999,0.2498626824767312
-0.4259999999999999,1.698553113194669,-0.4249999999999999,-0.04053867389375295,-0.4259999999999999,1.242935124119058,-0.4249999999999999,0.2498614384405238
-0.4249999999999999,1.698512574520775,-0.4239999999999999,-0.04076771993255509,-0.4249999999999999,1.243184985557499,-0.4239999999999999,0.2498601551124133
-0.4239999999999999,1.698471806800843,-0.4229999999999999,-0.04099860372042127,-0.4239999999999999,1.243434845712611,-0.4229999999999999,0.2498588315491543
-0.4229999999999999,1.698430808197122,-0.4219999999999999,-0.04123134288080973,-0.4229999999999999,1.243684704544161,-0.4219999999999999,0.2498574667837425
-0.4219999999999999,1.698389576854241,-0.4209999999999999,-0.0414659591250199,-0.4219999999999999,1.243934562010944,-0.4209999999999999,0.2498560598251929
-0.4209999999999999,1.698348110895116,-0.4199999999999999,-0.04170247124601897,-0.4209999999999999,1.24418441807077,-0.4199999999999999,0.2498546096603158
-0.4199999999999999,1.69830640842387,-0.4189999999999999,-0.04194089976028433,-0.4199999999999999,1.24443427268043,-0.4189999999999999,0.2498531152534953
-0.4189999999999999,1.69826446752411,-0.4179999999999999,-0.04218126533572782,-0.4189999999999999,1.244684125795683,-0.4179999999999999,0.2498515755411377
-0.4179999999999999,1.698222286258774,-0.4169999999999999,-0.04242359000961034,-0.4179999999999999,1.244933977371224,-0.4169999999999999,0.2498499894396653
-0.4169999999999999,1.698179862668765,-0.4159999999999999,-0.04266789347795449,-0.4169999999999999,1.245183827360664,-0.4159999999999999,0.2498483558337481
-0.4159999999999999,1.698137194775287,-0.4149999999999999,-0.04291419802870951,-0.4159999999999999,1.245433675716498,-0.4149999999999999,0.2498466735842972
-0.4149999999999999,1.698094280577258,-0.4139999999999999,-0.04316252549818596,-0.4149999999999999,1.245683522390082,-0.4139999999999999,0.2498449415302415
-0.4139999999999999,1.69805111805176,-0.4129999999999999,-0.04341289793297061,-0.4139999999999999,1.245933367331612,-0.4129999999999999,0.2498431584749825
-0.4129999999999999,1.698007705153827,-0.4119999999999999,-0.04366533763677789,-0.4129999999999999,1.246183210490087,-0.4119999999999999,0.2498413232012717
-0.4119999999999999,1.69796403981619,-0.4109999999999999,-0.04391986787322107,-0.4119999999999999,1.246433051813289,-0.4109999999999999,0.2498394344543351
-0.4109999999999999,1.697920119948317,-0.4099999999999999,-0.04417651193566736,-0.4109999999999999,1.246682891247743,-0.4099999999999999,0.2498374909607468
-0.4099999999999999,1.697875943436381,-0.4089999999999999,-0.04443529141306964,-0.4099999999999999,1.246932728738704,-0.4089999999999999,0.2498354914093335
-0.4089999999999999,1.697831508144968,-0.4079999999999999,-0.04469623269276464,-0.4089999999999999,1.247182564230113,-0.4079999999999999,0.2498334344605
-0.4079999999999999,1.697786811912275,-0.4069999999999999,-0.04495935799497804,-0.4079999999999999,1.247432397664574,-0.4069999999999999,0.2498313187446752
-0.4069999999999999,1.69774185255428,-0.4059999999999999,-0.04522469255108237,-0.4069999999999999,1.247682228983318,-0.4059999999999999,0.2498291428547625
