/ed_neo1 (Design_Point=1) X,/ed_neo1 (Design_Point=1) Y,/Vprod (Design_Point=1) X,/Vprod (Design_Point=1) Y
-0.2228400000001307,1.715636425501235,-0.2228400000001307,1.306474077407802
-0.2224800000001307,1.715594469746225,-0.2224800000001307,1.306561877331516
-0.2221200000001307,1.715552377849762,-0.2221200000001307,1.306649659468707
-0.2217600000001307,1.715510149135266,-0.2217600000001307,1.306737423682069
-0.2214000000001307,1.715467782920743,-0.2214000000001307,1.306825169833324
-0.2210400000001307,1.715425278519342,-0.2210400000001307,1.306912897783205
-0.2206800000001307,1.715382635239662,-0.2206800000001307,1.30700060739146
-0.2203200000001307,1.715339852384349,-0.2203200000001307,1.307088298516844
-0.2199600000001307,1.715296929251534,-0.2199600000001307,1.307175971017108
-0.2196000000001307,1.715253865133973,-0.2196000000001307,1.307263624749002
-0.2192400000001307,1.715210659318779,-0.2192400000001307,1.307351259568259
-0.2188800000001307,1.71516731108853,-0.2188800000001307,1.307438875329595
-0.2185200000001307,1.715123819719583,-0.2185200000001307,1.307526471886701
-0.2181600000001307,1.715080184483808,-0.2181600000001307,1.307614049092241
-0.2178000000001307,1.715036404646443,-0.2178000000001307,1.307701606797836
-0.2174400000001307,1.71499247946825,-0.2174400000001307,1.30778914485407
-0.2170800000001307,1.714948408203693,-0.2170800000001307,1.307876663110474
-0.2167200000001307,1.714904190101889,-0.2167200000001307,1.307964161415524
-0.2163600000001307,1.714859824406081,-0.2163600000001307,1.308051639616637
-0.2160000000001307,1.714815310353639,-0.2160000000001307,1.308139097560159
-0.2156400000001307,1.71477064717646,-0.2156400000001307,1.308226535091366
-0.2152800000001307,1.714725834100054,-0.2152800000001307,1.308313952054447
-0.2149200000001307,1.714680870344367,-0.2149200000001307,1.308401348292511
-0.2145600000001307,1.714635755122976,-0.2145600000001307,1.308488723647571
-0.2142000000001307,1.714590487643354,-0.2142000000001307,1.30857607796054
-0.2138400000001307,1.714545067107076,-0.2138400000001307,1.308663411071227
-0.2134800000001307,1.714499492709123,-0.2134800000001307,1.308750722818327
-0.2131200000001307,1.71445376363829,-0.2131200000001307,1.308838013039417
-0.2127600000001307,1.714407879077005,-0.2127600000001307,1.30892528157095
-0.2124000000001307,1.714361838201298,-0.2124000000001307,1.309012528248247
-0.2120400000001307,1.714315640180355,-0.2120400000001307,1.30909975290549
-0.2116800000001307,1.714269284177034,-0.2116800000001307,1.309186955375719
-0.2113200000001307,1.714222769347447,-0.2113200000001307,1.309274135490819
-0.2109600000001307,1.714176094840924,-0.2109600000001307,1.309361293081523
-0.2106000000001307,1.714129259799895,-0.2106000000001307,1.309448427977395
